# Mapping generated from sheet data-prestations, input data.csv output 4_prestations_1.csv
"category";"service";"label";"search_filter";"price";"billing";"filter_presentation";"calculating";"job"
"Maison & travaux";"Conducteur d'engin de chantier";"Conducteur de pelle à chenille";"";0;"de l'heure";"Construction";"Nombre";"Conducteur"
"Maison & travaux";"Conducteur d'engin de chantier";"Conducteur de raboteuse";"";0;"de l'heure";"Construction";"Nombre";"Conducteur"
"Maison & travaux";"Conducteur d'engin de chantier";"Conducteur de finisseur";"";0;"de l'heure";"Construction";"Nombre";"Conducteur"
"Maison & travaux";"Conducteur d'engin de chantier";"Conducteur de pulvimixeur";"";0;"de l'heure";"Construction";"Nombre";"Conducteur"
"Maison & travaux";"Conducteur d'engin de chantier";"Conducteur de niveleuse";"";0;"de l'heure";"Construction";"Nombre";"Conducteur"
"Maison & travaux";"Conducteur d'engin de chantier";"Conducteur de compacteur";"";0;"de l'heure";"Construction";"Nombre";"Conducteur"
"Maison & travaux";"Conducteur d'engin de chantier";"Conducteur de mini chargeuse";"";0;"de l'heure";"Construction";"Nombre";"Conducteur"
"Maison & travaux";"Conducteur d'engin de chantier";"Conducteur de tombereau";"";0;"de l'heure";"Construction";"Nombre";"Conducteur"
"Maison & travaux";"Conducteur d'engin de chantier";"Conducteur de tracteur agricole";"";0;"de l'heure";"Construction";"Nombre";"Conducteur"
"Maison & travaux";"Conducteur d'engin de chantier";"Conducteur de chariot élévateur de chantier";"";0;"de l'heure";"Construction";"Nombre";"Conducteur"
"Maison & travaux";"Conducteur d'engin de chantier";"Conducteur de plateforme élévatrice verticale";"";0;"de l'heure";"Construction";"Nombre";"Conducteur"
"Maison & travaux";"Conducteur d'engin de chantier";"Conducteur de plateforme élévatrice multi-directionnelle";"";0;"de l'heure";"Construction";"Nombre";"Conducteur"
"Administratif";"Conseil";"Conseil en comptabilité ";"";0;"de l'heure";"";"Nombre ";"Comptable "
