_id;Service;Prestations;Methode;Option;Supplément 1;Supplément 2
5d66a11808b3d612bd086622;Coiffure;Brushing élaboré;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086623;Coiffure;Couleur racine;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086624;Coiffure;Couleur complète;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086625;Coiffure;Soins;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086626;Coiffure;Coiffure de mariage avec essai;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086627;Coiffure;Coiffure de soirée;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086628;Coiffure;Lissage brésilien;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086629;Coiffure;Patine;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd08662a;Coiffure;Balayage;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd08662b;Coiffure;Défrisage;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd08662c;Coiffure;Dépose d'extensions;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd08662d;Coiffure;Permanente;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd08662e;Coiffure;Coupe création;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd08662f;Coiffure;Shampoing;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086630;Coiffure;Tie and dye;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086631;Coiffure;Pose d'extension;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086633;Coiffure;Coupe classique;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086637;Coiffure;Mèche;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086632;Coiffure afro;Assouplissement Naturel;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086634;Coiffure afro;Curly;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086635;Coiffure afro;Défrisage;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086636;Coiffure afro;Wave;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086638;Coiffure afro;Tresses couchées avec rajout;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086639;Coiffure afro;Dépose tresses;par prestation;"alfred;client";Forfait frais de déplacement;
