categorie;service;prestation;eligible_cesu;privée
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement roulement;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement répartiteur frein;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement rétroviseur;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement silencieux;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement soufflet de cardan;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement sphère;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement sphère principale;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement tube intermédiaire;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement étrier;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Reprogrammation compteurs digitaux;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Restauration automobile;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Réparation de carrosserie;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Réparation de carrosserie;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Réparation de jante;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Révision de voiture;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Shampoing moquette;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Shampoing sièges et banquette;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Toute mécanique ;0;1
Auto-Moto-Vélo-Nautique;Entretien voiture;Traitement des rayures de carrosserie;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Vidange boite automatique;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Vidange boite mécanique;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Vidange circuit de freinage;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Vidange moteur;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Vérification des kilométrages;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;lustrage carrosserie;0;1
Auto-Moto-Vélo-Nautique;Entretien voiture;nettoyage intérieur de véhicules à domicile;0;1
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remise en état;0;0
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remplacement boitier de pédalier;0;0
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remplacement chambre à air;0;0
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remplacement chaîne;0;0
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remplacement cintre ou potence;0;0
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remplacement couronne;0;0
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remplacement câble de gaine de freins et vitesse;0;0
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remplacement dérailleur;0;0
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remplacement dérailleur;0;0
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remplacement fourche;0;0
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remplacement frein patin;0;0
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remplacement frein à disque;0;0
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remplacement frein à tambour;0;0
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remplacement levier de frein;0;0
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remplacement liquide de frein;0;0
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remplacement manette de dérailleur;0;0
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remplacement paire de pédale;0;0
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remplacement patte de dérailleur;0;0
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remplacement porte bagage ou garde boue;0;0
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remplacement pédalier;0;0
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remplacement rayon de roue;0;0
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remplacement roue;0;0
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remplacement roue libre;0;0
Auto-Moto-Vélo-Nautique;Entretien vélo-vélo électrique;Remplacement selle;0;0
Beauté & bien-être;Barbier;Rasage à l'ancienne avec soins;0;0
Beauté & bien-être;Barbier;Taille de barbe avec soins;0;0
Beauté & bien-être;Barbier;Taille de barbe simple;0;0
Beauté & bien-être;Barbier;Taille de barbe travaillée;0;0
Beauté & bien-être;Barbier;Teinture de barbe;0;0
Beauté & bien-être;Beauté des mains et pieds; semi-permanent main ;0;1
Beauté & bien-être;Beauté des mains et pieds;Baby boomer / french +5;0;1
Beauté & bien-être;Beauté des mains et pieds;Beauté des mains ;0;1
Beauté & bien-être;Beauté des mains et pieds;Beauté des mains + pose de vernis semi-permanent ;0;1
Beauté & bien-être;Beauté des mains et pieds;Beauté des mains manucure gommage massage ;0;1
Beauté & bien-être;Beauté des mains et pieds;Beauté des mains sans pose de vernis ;0;1
Beauté & bien-être;Beauté des mains et pieds;Beauté des pieds;0;0
Beauté & bien-être;Beauté des mains et pieds;Beauté des pieds complète (gommage, modelage) ;0;1
